TimeInterval,GantryFrom,GantryTo,VehicleType,TravelTime,TrafficFlow,SpaceMeanSpeed
2023/12/27 11:10,01F0532S,01F0557S,42,111,46,79
2023/08/24 15:45,01F0557S,01F0578S,31,135,156,54
2023/03/12 10:35,01F0880S,01F0928S,5,209,6,81
2023/11/15 03:00,01F0376S,01F0413S,42,149,7,86
2023/08/29 16:30,01F0699S,01F0750S,42,203,14,88
2023/02/28 10:30,01F0750S,01F0880S,42,494,9,93
2023/09/06 09:00,01F0467S,01F0492S,5,104,30,86
2023/05/29 05:40,01F0492S,01F0511S,5,73,6,91
2023/11/22 21:15,01F0557S,01F0578S,32,84,28,90
2023/09/04 16:30,01F0264S,01F0293S,41,113,9,90
2023/06/26 07:50,01F0413S,01F0467S,31,190,199,100
2023/01/06 00:35,01F0750S,01F0880S,31,431,50,108
2023/11/22 07:40,01F0633S,01F0664S,5,138,10,79
2023/12/12 22:35,01F0492S,01F0511S,32,67,19,100
2023/12/31 18:45,01F0664S,01F0681S,31,63,165,93
2023/11/23 02:30,01F0750S,01F0880S,31,442,25,104
2023/09/21 23:20,01F0699S,01F0750S,32,176,11,100
2023/07/31 23:45,01F0532S,01F0557S,41,103,3,86
2023/01/01 11:20,01F0511S,01F0532S,31,79,236,93
2023/04/22 00:15,01F0532S,01F0557S,5,101,10,86
2023/08/27 21:30,01F0633S,01F0664S,41,120,2,91
2023/02/10 10:45,01F0950S,01F0980S,31,120,203,90
2023/11/24 18:20,01F0376S,01F0413S,42,219,4,59
2023/02/07 02:30,01F0950S,01F0980S,31,98,23,108
2023/02/17 14:20,01F0492S,01F0511S,42,81,28,82
2023/09/09 04:55,01F0880S,01F0928S,41,181,2,93
2023/11/26 17:25,01F0699S,01F0750S,42,210,3,86
2023/10/27 01:05,01F0339S,01F0376S,5,153,8,86
2023/04/27 07:30,01F0511S,01F0532S,32,475,90,14
2023/11/24 04:40,01F0264S,01F0293S,31,102,37,100
2023/01/30 17:00,01F0950S,01F0980S,41,121,4,86
2023/01/10 06:05,01F0557S,01F0578S,41,83,1,90
2023/11/26 07:55,01F0750S,01F0880S,42,525,5,86
2023/08/12 06:00,01F0376S,01F0413S,42,204,9,64
2023/10/19 19:45,01F0880S,01F0928S,41,200,8,84
2023/07/04 02:00,01F0492S,01F0511S,31,66,21,100
2023/05/27 13:25,01F0467S,01F0492S,31,90,211,97
2023/07/05 22:45,01F0532S,01F0557S,31,106,122,82
2023/11/27 06:35,01F0492S,01F0511S,5,77,15,86
2023/04/12 03:00,01F0467S,01F0492S,31,85,26,104
2023/02/28 19:05,01F0293S,01F0339S,5,200,1,82
2023/12/10 07:40,01F0699S,01F0750S,31,178,132,100
2023/10/10 04:15,01F0880S,01F0928S,31,172,30,97
2023/06/08 05:00,01F0578S,01F0633S,42,225,15,86
2023/10/04 00:50,01F0413S,01F0467S,42,202,11,93
2023/04/02 00:25,01F0293S,01F0339S,31,157,86,104
2023/03/29 21:10,01F0532S,01F0557S,31,97,222,90
2023/06/23 12:00,01F0557S,01F0578S,31,81,184,90
2023/07/17 14:05,01F0511S,01F0532S,31,91,167,82
2023/05/02 15:05,01F0511S,01F0532S,31,87,172,86
2023/12/17 21:00,01F0376S,01F0413S,42,173,3,75
2023/10/04 02:45,01F0557S,01F0578S,42,79,11,93
2023/02/17 18:45,01F0950S,01F0980S,42,147,7,72
